,group,Model,tot,Parameter
1,Columbia,dfo,87.08990826,FRIM
4,ECVI Fall,dfo,3461.823853,FRIM
7,ECVI Summer,dfo,43.54495412,FRIM
10,Fraser 4.1,dfo,174.1798165,FRIM
13,Fraser 4.2,dfo,0,FRIM
16,Fraser 5.2,dfo,195.9522936,FRIM
19,Fraser 5.2**,dfo,21.77247706,FRIM
22,Fraser Fall,dfo,1197.486239,FRIM
25,Mainland Inlets,dfo,892.6715595,FRIM
28,Marina land Inlets,dfo,65.31743119,FRIM
31,NEVI,dfo,87.08990826,FRIM
34,Puget Sound,dfo,892.6715596,FRIM
2,Columbia,psc,356.6252595,FRIM
5,ECVI Fall,psc,6314.108234,FRIM
8,ECVI Summer,psc,75.18706536,FRIM
11,Fraser 4.1,psc,902.6648209,FRIM
14,Fraser 4.2,psc,0,FRIM
17,Fraser 5.2,psc,287.8313137,FRIM
20,Fraser 5.2**,psc,33.38432598,FRIM
23,Fraser Fall,psc,3056.807875,FRIM
26,Mainland Inlets,psc,1292.991644,FRIM
29,Marina land Inlets,psc,95.94377122,FRIM
32,NEVI,psc,230.3490582,FRIM
35,Puget Sound,psc,1537.125633,FRIM
3,Columbia,risk,466.3585439,FRIM
6,ECVI Fall,risk,10676.00629,FRIM
9,ECVI Summer,risk,130.0537076,FRIM
12,Fraser 4.1,risk,1122.13139,FRIM
15,Fraser 4.2,risk,0,FRIM
18,Fraser 5.2,risk,534.7312036,FRIM
21,Fraser 5.2**,risk,60.81764708,FRIM
24,Fraser Fall,risk,4565.640535,FRIM
27,Mainland Inlets,risk,2417.757809,FRIM
30,Marina land Inlets,risk,178.2437345,FRIM
33,NEVI,risk,340.0823426,FRIM
36,Puget Sound,risk,2661.891798,FRIM
37,Columbia,dfo,1741.74358,TM
40,ECVI Fall,dfo,15015.37054,TM
43,ECVI Summer,dfo,159.6610013,TM
46,Fraser 4.1,dfo,4789.792691,TM
49,Fraser 4.2,dfo,0,TM
52,Fraser 5.2,dfo,370.1263643,TM
55,Fraser 5.2**,dfo,50.80148885,TM
58,Fraser Fall,dfo,11212.4953,TM
61,Mainland Inlets,dfo,1560.338831,TM
64,Marina land Inlets,dfo,123.3754548,TM
67,NEVI,dfo,870.8732265,TM
70,Puget Sound,dfo,3244.021514,TM
38,Columbia,psc,2011.278931,TM
41,ECVI Fall,psc,17867.65492,TM
44,ECVI Summer,psc,191.3031125,TM
47,Fraser 4.1,psc,5518.277695,TM
50,Fraser 4.2,psc,0,TM
53,Fraser 5.2,psc,462.0053844,TM
56,Fraser 5.2**,psc,62.41333777,TM
59,Fraser Fall,psc,13071.81694,TM
62,Mainland Inlets,psc,1960.658915,TM
65,Marina land Inlets,psc,154.0017948,TM
68,NEVI,psc,1014.132376,TM
71,Puget Sound,psc,3888.475588,TM
39,Columbia,risk,2121.012215,TM
42,ECVI Fall,risk,22229.55298,TM
45,ECVI Summer,risk,246.1697548,TM
48,Fraser 4.1,risk,5737.744263,TM
51,Fraser 4.2,risk,0,TM
54,Fraser 5.2,risk,708.9052743,TM
57,Fraser 5.2**,risk,89.84665887,TM
60,Fraser Fall,risk,14580.6496,TM
63,Mainland Inlets,risk,3085.42508,TM
66,Marina land Inlets,risk,236.3017581,TM
69,NEVI,risk,1123.865661,TM
72,Puget Sound,risk,5013.241752,TM
