Disposition,Area,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Kept,"upperQCS(11,111)",3826,2764,4032,3362,2434,4031,4542,4977,7089,3439,5478
Kept,nJST(12),8107,5535,4226,5976,9596,4703,9337,9018,4139,3153,2989
Kept,"nGST(13,14,15,16)",15509,15562,24142,34992,54746,32971,42155,49185,31896,27888,44981
Kept,"sGST(17,18,19ab,28,29)",6288,6788,9084,10208,16372,11642,17082,17119,13950,5330,4697
Kept,"JDFeast(19cde,20cd)",10949,13200,22024,14127,30230,14984,16538,20857,12139,6912,9221
Kept,JDFwest(Renfrew 20abe),7503,6591,9430,4781,8994,6640,10226,6606,8555,6357,6496
Kept,"SWVIoffshore(121,123,124)",31744,27185,30877,21116,24531,20207,28488,22326,9156,7341,5180
Kept,"NWVIoffshore(125,126,127)",16353,19604,15758,14403,11665,9756,12846,6277,4143,1299,707
Kept,WCVI inshore,79239,44680,40637,50085,46886,35872,52083,53822,67102,41542,63308
Released Legal,"upperQCS(11,111)",787,280,680,746,396,362,311,752,1662,822,370
Released Legal,nJST(12),1168,1193,973,426,2051,601,646,1584,2443,1584,965
Released Legal,"nGST(13,14,15,16)",717,275,3625,5923,6200,2250,3641,11242,35598,18845,36844
Released Legal,"sGST(17,18,19ab,28,29)",1357,1673,5715,11770,1604,1468,2045,1302,21312,6521,11173
Released Legal,"JDFeast(19cde,20cd)",1353,1532,4881,3764,5276,5133,4455,6660,10351,5420,6458
Released Legal,JDFwest(Renfrew 20abe),1789,992,3321,2423,2093,1285,1101,588,2487,1332,118
Released Legal,"SWVIoffshore(121,123,124)",12386,11252,21296,10910,10129,4409,11394,4955,2566,473,1048
Released Legal,"NWVIoffshore(125,126,127)",1421,15542,4580,5863,5786,1380,2308,792,606,211,123
Released Legal,WCVI inshore,15558,9823,14809,16289,14240,4930,7294,13121,16308,3952,14421
Released Sub-legal,"upperQCS(11,111)",299,778,388,389,237,693,1069,786,648,862,1031
Released Sub-legal,nJST(12),2918,5633,4670,5345,6014,5642,13301,12100,9928,5865,9317
Released Sub-legal,"nGST(13,14,15,16)",10689,27787,47077,26180,24277,44596,51563,35749,47285,50819,120965
Released Sub-legal,"sGST(17,18,19ab,28,29)",7664,15380,24320,2366,6341,10182,20314,13063,27406,30995,28685
Released Sub-legal,"JDFeast(19cde,20cd)",6690,5317,11765,6894,14058,11538,16048,30946,9604,13728,21208
Released Sub-legal,JDFwest(Renfrew 20abe),176,186,3312,1354,2554,3165,2598,3754,1485,2438,3607
Released Sub-legal,"SWVIoffshore(121,123,124)",5327,7765,8819,6392,3016,6559,6937,5701,2638,2321,4101
Released Sub-legal,"NWVIoffshore(125,126,127)",936,3285,2134,2587,1822,1076,797,359,219,112,381
Released Sub-legal,WCVI inshore,17523,17752,17543,19602,9782,30629,23987,50435,41538,17593,79365
